            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2451934.500000000, A.D. 2001-Jan-25 00:00:00.0000, -3.184790685026157E+08,  5.131167883272877E+08,  1.173623945984040E+08,
2451939.500000000, A.D. 2001-Jan-30 00:00:00.0000, -3.200978774536389E+08,  5.077037168938049E+08,  1.181602607290857E+08,
2451944.500000000, A.D. 2001-Feb-04 00:00:00.0000, -3.216821038505569E+08,  5.022357265839601E+08,  1.189453463649795E+08,
2451949.500000000, A.D. 2001-Feb-09 00:00:00.0000, -3.232309665711247E+08,  4.967124540042424E+08,  1.197173407500312E+08,
2451954.500000000, A.D. 2001-Feb-14 00:00:00.0000, -3.247436620792327E+08,  4.911335313077722E+08,  1.204759240629303E+08,
2451959.500000000, A.D. 2001-Feb-19 00:00:00.0000, -3.262193635368699E+08,  4.854985862507423E+08,  1.212207670527428E+08,
2451964.500000000, A.D. 2001-Feb-24 00:00:00.0000, -3.276572198729362E+08,  4.798072422615963E+08,  1.219515306565916E+08,
2451969.500000000, A.D. 2001-Mar-01 00:00:00.0000, -3.290563548065768E+08,  4.740591185242714E+08,  1.226678655983548E+08,
2451974.500000000, A.D. 2001-Mar-06 00:00:00.0000, -3.304158658225207E+08,  4.682538300770486E+08,  1.233694119673042E+08,
2451979.500000000, A.D. 2001-Mar-11 00:00:00.0000, -3.317348230956987E+08,  4.623909879286915E+08,  1.240557987755258E+08,
2451984.500000000, A.D. 2001-Mar-16 00:00:00.0000, -3.330122683622326E+08,  4.564701991937085E+08,  1.247266434928876E+08,
2451989.500000000, A.D. 2001-Mar-21 00:00:00.0000, -3.342472137337077E+08,  4.504910672487704E+08,  1.253815515582485E+08,
2451994.500000000, A.D. 2001-Mar-26 00:00:00.0000, -3.354386404514235E+08,  4.444531919125318E+08,  1.260201158655107E+08,
2451999.500000000, A.D. 2001-Mar-31 00:00:00.0000, -3.365854975770853E+08,  4.383561696513377E+08,  1.266419162230251E+08,
2452004.500000000, A.D. 2001-Apr-05 00:00:00.0000, -3.376867006161498E+08,  4.321995938135369E+08,  1.272465187847506E+08,
2452009.500000000, A.D. 2001-Apr-10 00:00:00.0000, -3.387411300697778E+08,  4.259830548953812E+08,  1.278334754514513E+08,
2452014.500000000, A.D. 2001-Apr-15 00:00:00.0000, -3.397476299110745E+08,  4.197061408417828E+08,  1.284023232400955E+08,
2452019.500000000, A.D. 2001-Apr-20 00:00:00.0000, -3.407050059810140E+08,  4.133684373855181E+08,  1.289525836194856E+08,
2452024.500000000, A.D. 2001-Apr-25 00:00:00.0000, -3.416120242991531E+08,  4.069695284288249E+08,  1.294837618100175E+08,
2452029.500000000, A.D. 2001-Apr-30 00:00:00.0000, -3.424674092839434E+08,  4.005089964717579E+08,  1.299953460453234E+08,
2452034.500000000, A.D. 2001-May-05 00:00:00.0000, -3.432698418771627E+08,  3.939864230921639E+08,  1.304868067934282E+08,
2452039.500000000, A.D. 2001-May-10 00:00:00.0000, -3.440179575666158E+08,  3.874013894827573E+08,  1.309575959349096E+08,
2452044.500000000, A.D. 2001-May-15 00:00:00.0000, -3.447103443006936E+08,  3.807534770513245E+08,  1.314071458953341E+08,
2452049.500000000, A.D. 2001-May-20 00:00:00.0000, -3.453455402878973E+08,  3.740422680905024E+08,  1.318348687289827E+08,
2452054.500000000, A.D. 2001-May-25 00:00:00.0000, -3.459220316741891E+08,  3.672673465242445E+08,  1.322401551507105E+08,
2452059.500000000, A.D. 2001-May-30 00:00:00.0000, -3.464382500907000E+08,  3.604282987390768E+08,  1.326223735126541E+08,
2452064.500000000, A.D. 2001-Jun-04 00:00:00.0000, -3.468925700637521E+08,  3.535247145092292E+08,  1.329808687222873E+08,
2452069.500000000, A.D. 2001-Jun-09 00:00:00.0000, -3.472833062785328E+08,  3.465561880256813E+08,  1.333149610980583E+08,
2452074.500000000, A.D. 2001-Jun-14 00:00:00.0000, -3.476087106871964E+08,  3.395223190402159E+08,  1.336239451585606E+08,
2452079.500000000, A.D. 2001-Jun-19 00:00:00.0000, -3.478669694515990E+08,  3.324227141367929E+08,  1.339070883409325E+08,
2452084.500000000, A.D. 2001-Jun-24 00:00:00.0000, -3.480561997102830E+08,  3.252569881439477E+08,  1.341636296438894E+08,
2452089.500000000, A.D. 2001-Jun-29 00:00:00.0000, -3.481744461586977E+08,  3.180247657034810E+08,  1.343927781905044E+08,
2452094.500000000, A.D. 2001-Jul-04 00:00:00.0000, -3.482196774309883E+08,  3.107256830124524E+08,  1.345937117055438E+08,
2452099.500000000, A.D. 2001-Jul-09 00:00:00.0000, -3.481897822710114E+08,  3.033593897574505E+08,  1.347655749018325E+08,
2452104.500000000, A.D. 2001-Jul-14 00:00:00.0000, -3.480825654795288E+08,  2.959255512623032E+08,  1.349074777697924E+08,
2452109.500000000, A.D. 2001-Jul-19 00:00:00.0000, -3.478957436238356E+08,  2.884238508728482E+08,  1.350184937639375E+08,
2452114.500000000, A.D. 2001-Jul-24 00:00:00.0000, -3.476269404953741E+08,  2.808539926051291E+08,  1.350976578797529E+08,
2452119.500000000, A.D. 2001-Jul-29 00:00:00.0000, -3.472736823002557E+08,  2.732157040864835E+08,  1.351439646140355E+08,
2452124.500000000, A.D. 2001-Aug-03 00:00:00.0000, -3.468333925670708E+08,  2.655087398225524E+08,  1.351563658014781E+08,
2452129.500000000, A.D. 2001-Aug-08 00:00:00.0000, -3.463033867557744E+08,  2.577328848273641E+08,  1.351337683199969E+08,
2452134.500000000, A.D. 2001-Aug-13 00:00:00.0000, -3.456808665505850E+08,  2.498879586580974E+08,  1.350750316568795E+08,
2452139.500000000, A.D. 2001-Aug-18 00:00:00.0000, -3.449629138192071E+08,  2.419738199007722E+08,  1.349789653273429E+08,
2452144.500000000, A.D. 2001-Aug-23 00:00:00.0000, -3.441464842207208E+08,  2.339903711585854E+08,  1.348443261368911E+08,
2452149.500000000, A.D. 2001-Aug-28 00:00:00.0000, -3.432284004447088E+08,  2.259375646011841E+08,  1.346698152788536E+08,
2452154.500000000, A.D. 2001-Sep-02 00:00:00.0000, -3.422053450642897E+08,  2.178154081405292E+08,  1.344540752584289E+08,
2452159.500000000, A.D. 2001-Sep-07 00:00:00.0000, -3.410738529860886E+08,  2.096239723070346E+08,  1.341956866345161E+08,
2452164.500000000, A.D. 2001-Sep-12 00:00:00.0000, -3.398303034810907E+08,  2.013633979086511E+08,  1.338931645707423E+08,
2452169.500000000, A.D. 2001-Sep-17 00:00:00.0000, -3.384709117818660E+08,  1.930339045657369E+08,  1.335449551874752E+08,
2452174.500000000, A.D. 2001-Sep-22 00:00:00.0000, -3.369917202339200E+08,  1.846358002260526E+08,  1.331494317072561E+08,
2452179.500000000, A.D. 2001-Sep-27 00:00:00.0000, -3.353885889920756E+08,  1.761694917771635E+08,  1.327048903870848E+08,
2452184.500000000, A.D. 2001-Oct-02 00:00:00.0000, -3.336571862570382E+08,  1.676354968880870E+08,  1.322095462323894E+08,
2452189.500000000, A.D. 2001-Oct-07 00:00:00.0000, -3.317929780529183E+08,  1.590344572283362E+08,  1.316615284894218E+08,
2452194.500000000, A.D. 2001-Oct-12 00:00:00.0000, -3.297912175537766E+08,  1.503671532307436E+08,  1.310588759153366E+08,
2452199.500000000, A.D. 2001-Oct-17 00:00:00.0000, -3.276469339766217E+08,  1.416345205847440E+08,  1.303995318285774E+08,
2452204.500000000, A.D. 2001-Oct-22 00:00:00.0000, -3.253549210704505E+08,  1.328376686693143E+08,  1.296813389465971E+08,
2452209.500000000, A.D. 2001-Oct-27 00:00:00.0000, -3.229097252466156E+08,  1.239779011595457E+08,  1.289020340234310E+08,
2452214.500000000, A.D. 2001-Nov-01 00:00:00.0000, -3.203056334156783E+08,  1.150567390680747E+08,  1.280592423069521E+08,
2452219.500000000, A.D. 2001-Nov-06 00:00:00.0000, -3.175366606209451E+08,  1.060759465128575E+08,  1.271504718453845E+08,
2452224.500000000, A.D. 2001-Nov-11 00:00:00.0000, -3.145965375896285E+08,  9.703755953578612E+07,  1.261731076845627E+08,
2452229.500000000, A.D. 2001-Nov-16 00:00:00.0000, -3.114786983604852E+08,  8.794391833156240E+07,  1.251244060119631E+08,
2452234.500000000, A.D. 2001-Nov-21 00:00:00.0000, -3.081762681946145E+08,  7.879770328300044E+07,  1.240014883221110E+08,
2452239.500000000, A.D. 2001-Nov-26 00:00:00.0000, -3.046820520354033E+08,  6.960197523772687E+07,  1.228013357014864E+08,
2452244.500000000, A.D. 2001-Dec-01 00:00:00.0000, -3.009885238556470E+08,  6.036022050086088E+07,  1.215207833597786E+08,
2452249.500000000, A.D. 2001-Dec-06 00:00:00.0000, -2.970878173173704E+08,  5.107640105638663E+07,  1.201565155692054E+08,
2452254.500000000, A.D. 2001-Dec-11 00:00:00.0000, -2.929717182764770E+08,  4.175501056423171E+07,  1.187050612162435E+08,
2452259.500000000, A.D. 2001-Dec-16 00:00:00.0000, -2.886316597936945E+08,  3.240113670758743E+07,  1.171627902222259E+08,
2452264.500000000, A.D. 2001-Dec-21 00:00:00.0000, -2.840587204691075E+08,  2.302053048140258E+07,  1.155259111525418E+08,
2452269.500000000, A.D. 2001-Dec-26 00:00:00.0000, -2.792436271038453E+08,  1.361968301210350E+07,  1.137904704103742E+08,
2452274.500000000, A.D. 2001-Dec-31 00:00:00.0000, -2.741767629133643E+08,  4.205910472116843E+06,  1.119523535019208E+08,
2452279.500000000, A.D. 2002-Jan-05 00:00:00.0000, -2.688481827760594E+08, -5.212552410320178E+06,  1.100072889676763E+08,
2452284.500000000, A.D. 2002-Jan-10 00:00:00.0000, -2.632476373016987E+08, -1.462644985964204E+07,  1.079508557002056E+08,
2452289.500000000, A.D. 2002-Jan-15 00:00:00.0000, -2.573646078477145E+08, -2.402539337675955E+07,  1.057784945138829E+08,
2452294.500000000, A.D. 2002-Jan-20 00:00:00.0000, -2.511883549960619E+08, -3.339774095126066E+07,  1.034855249961850E+08,
2452299.500000000, A.D. 2002-Jan-25 00:00:00.0000, -2.447079834229967E+08, -4.273046763233036E+07,  1.010671688515175E+08,
2452304.500000000, A.D. 2002-Jan-30 00:00:00.0000, -2.379125265355782E+08, -5.200902848122743E+07,  9.851858114283350E+07,
2452309.500000000, A.D. 2002-Feb-04 00:00:00.0000, -2.307910546880689E+08, -6.121721567459455E+07,  9.583489103475794E+07,
2452314.500000000, A.D. 2002-Feb-09 00:00:00.0000, -2.233328111890858E+08, -7.033701251025634E+07,  9.301125382914177E+07,
2452319.500000000, A.D. 2002-Feb-14 00:00:00.0000, -2.155273806076553E+08, -7.934844832839616E+07,  9.004291623656720E+07,
2452324.500000000, A.D. 2002-Feb-19 00:00:00.0000, -2.073648940006222E+08, -8.822945993826470E+07,  8.692529691239652E+07,
2452329.500000000, A.D. 2002-Feb-24 00:00:00.0000, -1.988362755025380E+08, -9.695576705436194E+07,  8.365408425843631E+07,
2452334.500000000, A.D. 2002-Mar-01 00:00:00.0000, -1.899335340960252E+08, -1.055007714841364E+08,  8.022535329174460E+07,
2452339.500000000, A.D. 2002-Mar-06 00:00:00.0000, -1.806501031359183E+08, -1.138354923058148E+08,  7.663570293524340E+07,
2452344.500000000, A.D. 2002-Mar-11 00:00:00.0000, -1.709812281298625E+08, -1.219285518860778E+08,  7.288241430260347E+07,
2452349.500000000, A.D. 2002-Mar-16 00:00:00.0000, -1.609244001756069E+08, -1.297462300609339E+08,  6.896362934162875E+07,
2452354.500000000, A.D. 2002-Mar-21 00:00:00.0000, -1.504798281530479E+08, -1.372526057491700E+08,  6.487854748817860E+07,
2452359.500000000, A.D. 2002-Mar-26 00:00:00.0000, -1.396509371977956E+08, -1.444098061415747E+08,  6.062763572502907E+07,
2452364.500000000, A.D. 2002-Mar-31 00:00:00.0000, -1.284448742553972E+08, -1.511783827244658E+08,  5.621284466616187E+07,
2452369.500000000, A.D. 2002-Apr-05 00:00:00.0000, -1.168729940241667E+08, -1.575178299856832E+08,  5.163782013846403E+07,
2452374.500000000, A.D. 2002-Apr-10 00:00:00.0000, -1.049512911028582E+08, -1.633872559953775E+08,  4.690809650403780E+07,
2452379.500000000, A.D. 2002-Apr-15 00:00:00.0000, -9.270073784438269E+07, -1.687462036861872E+08,  4.203125512722774E+07,
2452384.500000000, A.D. 2002-Apr-20 00:00:00.0000, -8.014748381641607E+07, -1.735556076327177E+08,  3.701702957155321E+07,
2452389.500000000, A.D. 2002-Apr-25 00:00:00.0000, -6.732287358227399E+07, -1.777788543000687E+08,  3.187733902881326E+07,
2452394.500000000, A.D. 2002-Apr-30 00:00:00.0000, -5.426324622888523E+07, -1.813828959242740E+08,  2.662623378985839E+07,
2452399.500000000, A.D. 2002-May-05 00:00:00.0000, -4.100949345995937E+07, -1.843393521660033E+08,  2.127974164968617E+07,
2452404.500000000, A.D. 2002-May-10 00:00:00.0000, -2.760637269930891E+07, -1.866255227631290E+08,  1.585561189892369E+07,
2452409.500000000, A.D. 2002-May-15 00:00:00.0000, -1.410159553959706E+07, -1.882252317613487E+08,  1.037296326068852E+07,
2452414.500000000, A.D. 2002-May-20 00:00:00.0000, -5.447366150478922E+05, -1.891294316105130E+08,  4.851852443327010E+06,
2452419.500000000, A.D. 2002-May-25 00:00:00.0000,  1.301397067924183E+07, -1.893365136480202E+08, -6.872108393969834E+05,
2452424.500000000, A.D. 2002-May-30 00:00:00.0000,  2.652487133574312E+07, -1.888522981122884E+08, -6.223770201233700E+06,
2452429.500000000, A.D. 2002-Jun-04 00:00:00.0000,  3.994007487193180E+07, -1.876897076908788E+08, -1.173791585877397E+07,
2452434.500000000, A.D. 2002-Jun-09 00:00:00.0000,  5.321451392943168E+07, -1.858681585187059E+08, -1.721073270794970E+07,
2452439.500000000, A.D. 2002-Jun-14 00:00:00.0000,  6.630681547422960E+07, -1.834127265993603E+08, -2.262467728473675E+07,
2452444.500000000, A.D. 2002-Jun-19 00:00:00.0000,  7.917994730051889E+07, -1.803531624311243E+08, -2.796386655602297E+07,
2452449.500000000, A.D. 2002-Jun-24 00:00:00.0000,  9.180162679050876E+07, -1.767228309734794E+08, -3.321427129653845E+07,
2452454.500000000, A.D. 2002-Jun-29 00:00:00.0000,  1.041445009128505E+08, -1.725576489445853E+08, -3.836381594678863E+07,
2452459.500000000, A.D. 2002-Jul-04 00:00:00.0000,  1.161861234812421E+08, -1.678950792977104E+08, -4.340239411980870E+07,
2452464.500000000, A.D. 2002-Jul-09 00:00:00.0000,  1.279087664592251E+08, -1.627732267619341E+08, -4.832181372409011E+07,
2452469.500000000, A.D. 2002-Jul-14 00:00:00.0000,  1.392991066760856E+08, -1.572300615788030E+08, -5.311568795630036E+07,
2452474.500000000, A.D. 2002-Jul-19 00:00:00.0000,  1.503478287627312E+08, -1.513027833431670E+08, -5.777928856469567E+07,
2452479.500000000, A.D. 2002-Jul-24 00:00:00.0000,  1.610491809443879E+08, -1.450273245568883E+08, -6.230937638032471E+07,
2452484.500000000, A.D. 2002-Jul-29 00:00:00.0000,  1.714005141013420E+08, -1.384379846564535E+08, -6.670402178415602E+07,
2452489.500000000, A.D. 2002-Aug-03 00:00:00.0000,  1.814018275531963E+08, -1.315671797581752E+08, -7.096242506882203E+07,
